first_downs_away,first_downs_home,passing_yards_away,passing_yards_home,rushing_yards_away,rushing_yards_home,total_yards_away,total_yards_home,rushing_attempts_away,rushing_attempts_home,fumbles_away,fumbles_home,int_away,int_home,turnovers_away,turnovers_home,drives_away,drives_home,def_st_td_away,def_st_td_home,score_away,score_home
17.66470588235294,20.03529411764706,197.53529411764706,230.5235294117647,117.69411764705882,113.61176470588235,315.2294117647059,344.13529411764705,27.21764705882353,28.458823529411763,0.6764705882352942,0.6470588235294118,0.8941176470588236,0.7941176470588235,1.5705882352941176,1.4411764705882353,12.382352941176471,12.311764705882354,0.2823529411764706,0.3,19.788235294117648,24.094117647058823
17.48148148148148,19.308641975308642,196.23456790123456,223.30864197530863,105.4753086419753,116.99382716049382,301.7098765432099,340.3024691358025,26.234567901234566,27.67283950617284,0.7283950617283951,0.7716049382716049,1.0432098765432098,0.9197530864197531,1.771604938271605,1.691358024691358,12.654320987654321,12.555555555555555,0.5,0.35185185185185186,19.339506172839506,22.709876543209877
18.830303030303032,19.98181818181818,222.0787878787879,228.06666666666666,98.95757575757575,118.50909090909092,321.03636363636366,346.57575757575756,26.060606060606062,28.13939393939394,0.6303030303030303,0.6363636363636364,0.9636363636363636,0.9090909090909091,1.593939393939394,1.5454545454545454,12.381818181818181,12.254545454545454,0.30303030303030304,0.3939393939393939,20.581818181818182,22.69090909090909
17.99390243902439,20.408536585365855,202.34756097560975,212.4512195121951,110.02439024390245,129.07926829268294,312.3719512195122,341.530487804878,26.20731707317073,29.128048780487806,0.6585365853658537,0.573170731707317,1.0609756097560976,0.9207317073170732,1.7195121951219512,1.4939024390243902,12.21951219512195,12.286585365853659,0.3597560975609756,0.3475609756097561,19.890243902439025,23.390243902439025
19.65644171779141,19.12269938650307,226.19631901840492,215.48466257668713,119.93251533742331,115.7239263803681,346.12883435582825,331.2085889570552,28.11042944785276,27.687116564417177,0.6073619631901841,0.6932515337423313,1.0552147239263803,0.8588957055214724,1.6625766871165644,1.5521472392638036,12.570552147239264,12.552147239263803,0.36809815950920244,0.31901840490797545,21.687116564417177,23.245398773006134
17.607361963190183,21.049079754601227,204.73006134969324,226.19631901840492,107.69325153374233,136.3926380368098,312.4233128834356,362.58895705521473,25.116564417177916,30.368098159509202,0.7300613496932515,0.5460122699386503,1.1104294478527608,0.9263803680981595,1.8404907975460123,1.4723926380368098,12.263803680981596,12.190184049079754,0.19631901840490798,0.3619631901840491,18.282208588957054,24.932515337423315
19.134146341463413,19.713414634146343,243.4512195121951,225.14634146341464,99.39024390243902,114.17073170731707,342.8414634146341,339.3170731707317,25.432926829268293,27.408536585365855,0.7073170731707317,0.7439024390243902,1.024390243902439,1.0182926829268293,1.7317073170731707,1.7621951219512195,12.201219512195122,12.201219512195122,0.43902439024390244,0.36585365853658536,21.524390243902438,23.170731707317074
18.379518072289155,20.259036144578314,217.57831325301206,226.18072289156626,96.8855421686747,121.60240963855422,314.46385542168673,347.7831325301205,24.69277108433735,28.397590361445783,0.7469879518072289,0.6867469879518072,1.144578313253012,0.9759036144578314,1.891566265060241,1.6626506024096386,12.771084337349398,12.536144578313253,0.3072289156626506,0.39156626506024095,19.99397590361446,25.35542168674699
20.119760479041915,20.263473053892216,245.03592814371257,230.04191616766468,106.2814371257485,116.18562874251496,351.31736526946105,346.22754491017963,26.910179640718564,26.81437125748503,0.562874251497006,0.592814371257485,0.8922155688622755,0.874251497005988,1.4550898203592815,1.467065868263473,11.808383233532934,11.904191616766466,0.2934131736526946,0.2694610778443114,23.718562874251496,23.023952095808383
20.048484848484847,21.048484848484847,234.55151515151516,237.22424242424242,120.37575757575758,130.78787878787878,354.92727272727274,368.0121212121212,27.078787878787878,28.43030303030303,0.5878787878787879,0.6484848484848484,0.7090909090909091,0.9636363636363636,1.2969696969696969,1.612121212121212,12.254545454545454,12.266666666666667,0.44242424242424244,0.23030303030303031,23.47878787878788,24.036363636363635
21.03448275862069,20.626436781609197,248.7183908045977,224.07471264367817,104.73563218390805,126.55172413793103,353.45402298850576,350.6264367816092,26.10919540229885,28.367816091954023,0.5287356321839081,0.735632183908046,0.9597701149425287,0.8333333333333334,1.4885057471264367,1.5689655172413792,11.781609195402298,11.637931034482758,0.3103448275862069,0.40804597701149425,23.988505747126435,23.82183908045977
19.44242424242424,19.363636363636363,226.21818181818182,223.72727272727272,116.24848484848485,110.63030303030303,342.46666666666664,334.3575757575758,27.55151515151515,26.454545454545453,0.6727272727272727,0.6787878787878788,0.9151515151515152,0.8666666666666667,1.587878787878788,1.5454545454545454,12.006060606060606,11.848484848484848,0.3212121212121212,0.3575757575757576,21.048484848484847,21.78181818181818
17.96273291925466,20.17391304347826,202.583850931677,229.75776397515529,102.14906832298136,121.59627329192547,304.7329192546584,351.35403726708074,25.391304347826086,29.18633540372671,0.7204968944099379,0.5279503105590062,1.0186335403726707,0.9751552795031055,1.7391304347826086,1.5031055900621118,12.20496894409938,12.180124223602485,0.32919254658385094,0.2981366459627329,18.714285714285715,22.819875776397517
19.941176470588236,20.011764705882353,238.28235294117647,233.49411764705883,119.25294117647059,115.16470588235295,357.5352941176471,348.6588235294118,26.394117647058824,27.347058823529412,0.6294117647058823,0.6647058823529411,0.888235294117647,0.9294117647058824,1.5176470588235293,1.5941176470588236,12.33529411764706,12.58235294117647,0.4176470588235294,0.3176470588235294,24.01764705882353,23.011764705882353
